age,height_cm,weight_kg,bmi,shoulder_width_cm,waist_circumference_cm,hip_circumference_cm,waist_hip_ratio,chest_circumference_cm,hand_length_cm,foot_length_cm,neck_circumference_cm,wrist_circumference_cm,voice_frequency_hz,stride_length_cm,grip_strength_kg,pulse_rate_bpm,systolic_bp_mmhg,body_fat_percentage,bone_density_g_cm2,gender,age_category,target
24,172.6,82.5,27.7,46.4,100.9,89.5,1.128,101.0,16.0,25.0,39.2,15.6,121.6,77.0,40.7,67.0,115.0,11.2,1.244,male,young,young_male
26,163.1,65.8,24.7,36.5,70.2,101.6,0.691,94.3,16.2,21.5,31.6,14.4,209.9,66.9,36.7,100.0,131.0,26.1,1.308,female,young,young_female
25,181.7,109.3,33.1,45.8,103.1,97.8,1.055,102.7,16.7,27.4,35.5,16.2,119.1,76.3,52.4,75.0,123.0,15.9,1.291,male,young,young_male
68,172.3,77.4,26.1,48.3,97.6,92.5,1.055,111.4,17.7,27.7,38.9,15.4,118.5,83.8,72.0,59.0,128.0,14.7,0.868,male,old,old_male
63,178.4,81.9,25.7,46.1,108.8,91.9,1.184,95.5,18.2,27.8,39.0,16.2,130.3,78.6,41.9,53.0,136.0,16.3,1.036,male,old,old_male
26,160.3,83.0,32.3,37.5,67.7,89.3,0.759,88.1,16.3,19.9,35.2,15.0,209.3,72.1,31.7,71.0,118.0,24.6,1.196,female,young,young_female
18,171.5,69.7,23.7,46.0,89.9,99.6,0.903,92.8,17.8,27.5,35.6,19.1,148.1,86.4,41.1,77.0,135.0,19.4,1.261,male,young,young_male
20,174.8,71.5,23.4,44.2,88.9,98.7,0.9,112.0,19.1,28.3,40.6,17.3,91.1,71.8,46.0,78.0,112.0,12.0,1.165,male,young,young_male
78,178.1,95.5,30.1,45.8,104.2,90.9,1.147,103.9,19.4,24.6,43.6,17.7,96.2,81.9,38.4,78.0,145.0,19.1,1.15,male,old,old_male
71,190.2,81.9,22.6,46.6,90.5,94.9,0.953,105.3,18.8,27.7,41.9,15.0,137.0,80.4,48.2,50.0,132.0,16.6,1.046,male,old,old_male
22,162.4,71.0,26.9,36.6,81.2,102.3,0.794,89.3,15.9,22.2,33.8,15.1,225.8,76.8,36.5,73.0,124.0,30.3,1.144,female,young,young_female
69,170.0,74.2,25.7,39.5,85.4,130.6,0.654,96.6,18.4,24.4,33.6,14.6,229.0,64.1,13.1,79.0,110.0,22.6,1.011,female,old,old_female
22,154.8,77.2,32.2,37.5,72.0,86.0,0.838,85.9,17.5,21.0,27.0,14.0,231.0,76.9,25.3,74.0,120.0,35.7,1.263,female,young,young_female
64,158.3,116.7,46.6,42.8,87.4,93.6,0.934,117.0,19.0,24.1,34.1,16.8,80.1,70.2,41.3,69.0,167.0,17.0,1.121,male,old,old_male
33,166.0,66.5,24.1,41.5,79.3,100.2,0.791,106.5,17.3,22.6,33.1,16.4,222.5,73.3,22.6,63.0,108.0,18.7,1.196,female,adult,adult_female
24,159.4,58.4,23.0,36.5,70.3,100.9,0.696,94.9,16.2,24.3,32.8,16.0,225.7,63.9,32.9,72.0,114.0,31.4,1.171,female,young,young_female
53,176.4,92.9,29.8,47.3,81.1,89.8,0.903,108.3,19.9,21.5,30.6,16.9,108.2,76.2,41.7,78.0,128.0,16.3,0.951,male,adult,adult_male
22,148.7,82.2,37.1,42.6,78.5,96.6,0.812,116.5,19.6,26.2,38.2,16.6,143.7,75.0,45.6,79.0,115.0,13.4,1.286,male,young,young_male
24,158.5,56.8,22.6,38.9,86.8,101.0,0.859,90.7,17.0,21.5,32.0,14.7,218.1,63.9,27.1,76.0,122.0,23.0,1.252,female,young,young_female
34,162.1,73.4,28.0,34.8,69.4,88.2,0.786,103.5,16.2,22.8,30.5,14.6,191.6,70.3,19.7,58.0,109.0,21.0,1.046,female,adult,adult_female
21,150.0,65.8,29.3,39.7,82.8,100.2,0.826,103.8,17.8,22.8,31.8,14.7,217.4,62.5,30.2,75.0,74.0,20.5,1.234,female,young,young_female
65,161.0,75.8,29.2,43.7,82.8,93.4,0.886,104.8,17.7,22.0,35.4,14.1,193.8,63.8,25.9,67.0,146.0,22.2,1.109,female,old,old_female
43,171.9,68.4,23.2,47.1,98.5,84.4,1.166,92.5,15.9,25.5,40.2,19.3,121.5,87.8,34.0,51.0,121.0,16.9,1.132,male,adult,adult_male
80,162.7,86.1,32.5,39.5,105.5,82.0,1.288,118.3,16.4,29.0,35.3,17.8,105.0,88.0,47.8,74.0,132.0,8.6,0.82,male,old,old_male
81,150.8,64.2,28.2,38.2,69.9,97.7,0.715,92.3,17.6,24.8,34.1,14.3,191.6,70.9,23.0,50.0,153.0,20.1,0.799,female,old,old_female
74,148.0,51.9,23.7,38.9,78.3,104.1,0.752,81.7,15.1,23.3,31.1,12.5,243.6,61.5,39.8,92.0,114.0,19.3,0.861,female,old,old_female
83,154.8,96.7,40.3,43.1,91.7,102.1,0.897,101.7,19.3,27.8,38.0,17.7,136.3,81.4,44.3,59.0,151.0,16.1,1.106,male,old,old_male
18,164.1,77.3,28.7,41.6,92.1,111.7,0.825,89.1,18.8,25.2,36.2,18.1,142.1,82.6,30.8,58.0,112.0,15.4,1.309,male,young,young_male
58,187.6,84.1,23.9,43.8,86.1,92.4,0.932,105.2,18.4,26.6,44.2,18.3,113.5,85.2,41.7,48.0,114.0,5.6,1.025,male,adult,adult_male
24,194.7,56.1,14.8,41.4,77.1,90.5,0.852,102.4,19.4,22.9,32.4,15.9,138.3,84.5,51.6,78.0,105.0,16.9,1.296,male,young,young_male
